ID,Severidad,Mensaje,Detalles,Timestamp
IAM-001,CRITICAL,Usuario con acceso administrador: ConectorCloud,"{'user_id': '2d5502377631460c9601244670a8aa1c', 'user_name': 'ConectorCloud', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-08T19:52:46.129335
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: ConectorCloud,"{'user_id': '2d5502377631460c9601244670a8aa1c', 'user_name': 'ConectorCloud', 'privileged_services': ['iam_admin', 'iam', 'vpc', 'ecs'], 'count': 4, 'groups': ['admin']}",2025-08-08T19:52:46.129618
IAM-025,HIGH,Usuario con permisos excesivos: ConectorCloud,"{'user_id': '2d5502377631460c9601244670a8aa1c', 'user_name': 'ConectorCloud', 'excessive_actions': ['ecs:*', '*:*:*', 'vpc:*', 'iam:*'], 'groups': ['admin']}",2025-08-08T19:52:46.129814
IAM-001,CRITICAL,Usuario con acceso administrador: diegogarone,"{'user_id': '08450e873d00f5051fefc01364c4b18b', 'user_name': 'diegogarone', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-08T19:52:47.610266
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: diegogarone,"{'user_id': '08450e873d00f5051fefc01364c4b18b', 'user_name': 'diegogarone', 'privileged_services': ['iam_admin', 'iam', 'vpc', 'ecs'], 'count': 4, 'groups': ['admin']}",2025-08-08T19:52:47.610706
IAM-025,HIGH,Usuario con permisos excesivos: diegogarone,"{'user_id': '08450e873d00f5051fefc01364c4b18b', 'user_name': 'diegogarone', 'excessive_actions': ['ecs:*', '*:*:*', 'vpc:*', 'iam:*'], 'groups': ['admin']}",2025-08-08T19:52:47.611033
IAM-001,CRITICAL,Usuario con acceso administrador: emilianosilva,"{'user_id': 'ab66dc6fc98745bfa87f539d8e64aca2', 'user_name': 'emilianosilva', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-08T19:52:48.356166
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: emilianosilva,"{'user_id': 'ab66dc6fc98745bfa87f539d8e64aca2', 'user_name': 'emilianosilva', 'privileged_services': ['iam_admin', 'iam', 'vpc', 'ecs'], 'count': 4, 'groups': ['admin']}",2025-08-08T19:52:48.357131
IAM-025,HIGH,Usuario con permisos excesivos: emilianosilva,"{'user_id': 'ab66dc6fc98745bfa87f539d8e64aca2', 'user_name': 'emilianosilva', 'excessive_actions': ['ecs:*', '*:*:*', 'vpc:*', 'iam:*'], 'groups': ['admin']}",2025-08-08T19:52:48.358040
IAM-001,CRITICAL,Usuario con acceso administrador: Florencia Pavon,"{'user_id': 'e84771c7285a47939e6895479962ddd0', 'user_name': 'Florencia Pavon', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-08T19:52:49.111819
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: Florencia Pavon,"{'user_id': 'e84771c7285a47939e6895479962ddd0', 'user_name': 'Florencia Pavon', 'privileged_services': ['iam_admin', 'iam', 'vpc', 'ecs'], 'count': 4, 'groups': ['admin']}",2025-08-08T19:52:49.112324
IAM-025,HIGH,Usuario con permisos excesivos: Florencia Pavon,"{'user_id': 'e84771c7285a47939e6895479962ddd0', 'user_name': 'Florencia Pavon', 'excessive_actions': ['ecs:*', '*:*:*', 'vpc:*', 'iam:*'], 'groups': ['admin']}",2025-08-08T19:52:49.112858
IAM-001,CRITICAL,Usuario con acceso administrador: globo,"{'user_id': '5ade0315e9ba4045b063df938541c286', 'user_name': 'globo', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-08T19:52:49.858337
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: globo,"{'user_id': '5ade0315e9ba4045b063df938541c286', 'user_name': 'globo', 'privileged_services': ['iam_admin', 'iam', 'vpc', 'ecs'], 'count': 4, 'groups': ['admin']}",2025-08-08T19:52:49.859152
IAM-025,HIGH,Usuario con permisos excesivos: globo,"{'user_id': '5ade0315e9ba4045b063df938541c286', 'user_name': 'globo', 'excessive_actions': ['ecs:*', '*:*:*', 'vpc:*', 'iam:*'], 'groups': ['admin']}",2025-08-08T19:52:49.859726
IAM-001,CRITICAL,Usuario con acceso administrador: Julian Vazzano,"{'user_id': '0563f1d7034343cfa595eeb58b633b99', 'user_name': 'Julian Vazzano', 'permission_sources': ['group:power_user'], 'groups': ['power_user']}",2025-08-08T19:52:50.609549
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: Julian Vazzano,"{'user_id': '0563f1d7034343cfa595eeb58b633b99', 'user_name': 'Julian Vazzano', 'privileged_services': ['iam_admin', 'obs', 'ecs', 'vpc', 'rds'], 'count': 5, 'groups': ['power_user']}",2025-08-08T19:52:50.609744
IAM-001,CRITICAL,Usuario con acceso administrador: Nicolas Alcorta,"{'user_id': '7b342f3b84144b048b37ade414729bf7', 'user_name': 'Nicolas Alcorta', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-08T19:52:51.349893
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: Nicolas Alcorta,"{'user_id': '7b342f3b84144b048b37ade414729bf7', 'user_name': 'Nicolas Alcorta', 'privileged_services': ['iam_admin', 'iam', 'vpc', 'ecs'], 'count': 4, 'groups': ['admin']}",2025-08-08T19:52:51.350233
IAM-025,HIGH,Usuario con permisos excesivos: Nicolas Alcorta,"{'user_id': '7b342f3b84144b048b37ade414729bf7', 'user_name': 'Nicolas Alcorta', 'excessive_actions': ['ecs:*', '*:*:*', 'vpc:*', 'iam:*'], 'groups': ['admin']}",2025-08-08T19:52:51.350393
IAM-001,CRITICAL,Usuario con acceso administrador: Nicolas Villafane,"{'user_id': '0e3c90608486441a87cfd710156eab73', 'user_name': 'Nicolas Villafane', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-08T19:52:52.099845
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: Nicolas Villafane,"{'user_id': '0e3c90608486441a87cfd710156eab73', 'user_name': 'Nicolas Villafane', 'privileged_services': ['iam_admin', 'iam', 'vpc', 'ecs'], 'count': 4, 'groups': ['admin']}",2025-08-08T19:52:52.100979
IAM-025,HIGH,Usuario con permisos excesivos: Nicolas Villafane,"{'user_id': '0e3c90608486441a87cfd710156eab73', 'user_name': 'Nicolas Villafane', 'excessive_actions': ['ecs:*', '*:*:*', 'vpc:*', 'iam:*'], 'groups': ['admin']}",2025-08-08T19:52:52.102049
IAM-001,CRITICAL,Usuario con acceso administrador: SManoni,"{'user_id': '8cb2fc59f63a4af3ab47710e48b5b551', 'user_name': 'SManoni', 'permission_sources': ['group:admin'], 'groups': ['admin']}",2025-08-08T19:52:55.108016
IAM-028,HIGH,Usuario con acceso a múltiples servicios privilegiados: SManoni,"{'user_id': '8cb2fc59f63a4af3ab47710e48b5b551', 'user_name': 'SManoni', 'privileged_services': ['iam_admin', 'iam', 'vpc', 'ecs'], 'count': 4, 'groups': ['admin']}",2025-08-08T19:52:55.108425
