ID,Severidad,Mensaje,Región,Recurso,Detalles,Framework_CIS,Framework_ISO,Framework_NIST,Timestamp
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC_PROD,"{'vpc_id': '226a8988-4786-465b-af8e-62c1533c2460', 'vpc_name': 'VPC_PROD', 'region': 'LA-Santiago', 'total_subnets': 1, 'public_subnets': 1, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.852073
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC_MGMT,"{'vpc_id': '244e97db-12df-40f3-8c8c-a9e79999ce9b', 'vpc_name': 'VPC_MGMT', 'region': 'LA-Santiago', 'total_subnets': 1, 'public_subnets': 1, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.852452
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC_DMZ,"{'vpc_id': '36ae4994-67cb-44ff-a793-3619a4fd6629', 'vpc_name': 'VPC_DMZ', 'region': 'LA-Santiago', 'total_subnets': 1, 'public_subnets': 1, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.852628
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC-TESTER,"{'vpc_id': '3d387f31-e1cc-4e99-9c38-881565c5375c', 'vpc_name': 'VPC-TESTER', 'region': 'LA-Santiago', 'total_subnets': 3, 'public_subnets': 3, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.852778
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC_BACKUP,"{'vpc_id': '44a14efc-1762-4c86-8731-187c3bea0c7a', 'vpc_name': 'VPC_BACKUP', 'region': 'LA-Santiago', 'total_subnets': 1, 'public_subnets': 1, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.852918
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC_DESA,"{'vpc_id': '4cd732fb-6c68-4b13-8437-efa79880d2cb', 'vpc_name': 'VPC_DESA', 'region': 'LA-Santiago', 'total_subnets': 1, 'public_subnets': 1, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.853063
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC_QA,"{'vpc_id': '91104d53-0155-4f93-8eef-ac4f033cfb2e', 'vpc_name': 'VPC_QA', 'region': 'LA-Santiago', 'total_subnets': 1, 'public_subnets': 1, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.853208
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC_General,"{'vpc_id': 'e57fc038-1a7e-4f7e-8963-310f041ddbf2', 'vpc_name': 'VPC_General', 'region': 'LA-Santiago', 'total_subnets': 2, 'public_subnets': 2, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.853337
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Santiago,LA-Santiago,VPC_KUBERNETES,"{'vpc_id': 'f156045a-556b-49b9-8669-d8190c19ceee', 'vpc_name': 'VPC_KUBERNETES', 'region': 'LA-Santiago', 'total_subnets': 1, 'public_subnets': 1, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.853441
NET-001,ALTA,VPC sin segregación adecuada de subnets en LA-Buenos Aires1,LA-Buenos Aires1,VPC_General,"{'vpc_id': '1bf15980-1891-46a8-bb99-cf974e98d44c', 'vpc_name': 'VPC_General', 'region': 'LA-Buenos Aires1', 'total_subnets': 3, 'public_subnets': 3, 'private_subnets': 0, 'recommendation': 'Segregar subnets públicas y privadas en la VPC'}",CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,2025-08-18T21:50:00.853574
